id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
9913913	entry	9913	913	0.0	0.0	2147483647	1.0
905666901	sidewalk	905	901	1.0606601717798214	0.0	0	0.0
90033	entry	9003	3	0.0	0.0	2147483647	1.0
900666910	sidewalk	900	910	1.0606601717798216	0.0	0	0.0
501666901	sidewalk	501	901	0.896446609406726	0.0	0	0.0
419004	exit	4	9004	0.0	0.0	2147483647	1.0
517666913	sidewalk	517	913	0.896446609406726	0.0	0	0.0
90044	entry	9004	4	0.0	0.0	2147483647	1.0
907666904	sidewalk	907	904	0.792893218813452	0.0	0	0.0
500666900	sidewalk	500	900	0.8964466094067263	0.0	0	0.0
9500500	entry	9500	500	0.0	0.0	2147483647	1.0
90055	entry	9005	5	0.0	0.0	2147483647	1.0
9912912	entry	9912	912	0.0	0.0	2147483647	1.0
909777908	crosswalk	909	908	0.6123724356957938	0.0	0	1.0
907666902	sidewalk	907	902	0.5606601717798205	0.0	0	0.0
912777911	crosswalk	912	911	0.5210053832799874	0.0	0	1.0
90066	entry	9006	6	0.0	0.0	2147483647	1.0
910666900	sidewalk	910	900	1.0606601717798216	0.0	0	0.0
516666911	sidewalk	516	911	0.896446609406726	0.0	0	0.0
119001	exit	1	9001	0.0	0.0	2147483647	1.0
910666909	sidewalk	910	909	0.7071067811865468	0.0	0	0.0
9901901	entry	9901	901	0.0	0.0	2147483647	1.0
90077	entry	9007	7	0.0	0.0	2147483647	1.0
902777900	crosswalk	902	900	0.521005383279987	0.0	0	1.0
901666905	sidewalk	901	905	1.0606601717798214	0.0	0	0.0
9910910	entry	9910	910	0.0	0.0	2147483647	1.0
9911911	entry	9911	911	0.0	0.0	2147483647	1.0
9900900	entry	9900	900	0.0	0.0	2147483647	1.0
619006	exit	6	9006	0.0	0.0	2147483647	1.0
904666907	sidewalk	904	907	0.792893218813452	0.0	0	0.0
904666902	sidewalk	904	902	0.5606601717798213	0.0	0	0.0
518666517	sidewalk	518	517	1.0	0.0	0	0.0
